     33 Diomedeidae (Albatrosses)
     33 Meropidae (Bee-eaters)
     34 Otididae (Bustards)
     35 Tytonidae (Barn-Owls)
     37 Sittidae (Nuthatches)
     40 "Alcidae (Auks
     40 Dicruridae (Drongos)
     40 Maluridae (Fairywrens)
     41 Musophagidae (Turacos)
     42 Cettiidae (Bush-Warblers and Allies)
     42 Megalaimidae (Asian Barbets)
     44 Threskiornithidae (Ibises and Spoonbills)
     44 Tityridae (Tityras and Allies)
     45 Paradisaeidae (Birds-of-Paradise)
     45 Platysteiridae (Wattle-eyes and Batises)
     46 Mimidae (Mockingbirds and Thrashers)
     46 Oriolidae (Old World Orioles)
     46 "Paradoxornithidae (Parrotbills
     47 Sylviidae (Sylviid Warblers)
     48 Bucconidae (Puffbirds)
     50 Hydrobatidae (Storm-Petrels)
     50 Odontophoridae (New World Quail)
     54 "Vangidae (Vangas
     55 Passeridae (Old World Sparrows)
     56 Phalacrocoracidae (Cormorants and Shags)
     57 Dicaeidae (Flowerpeckers)
     57 Tinamidae (Tinamous)
     58 Petroicidae (Australasian Robins)
     59 Laniidae (Shrikes)
     59 Pittidae (Pittas)
     61 Trogonidae (Trogons)
     64 Lybiidae (African Barbets)
     64 Ramphastidae (Toucans)
     67 Pipridae (Manakins)
     67 "Timaliidae (Tree-Babblers
     70 Pellorneidae (Ground Babblers and Allies)
     71 Pachycephalidae (Whistlers and Allies)
     72 "Cracidae (Guans
     72 Malaconotidae (Bushshrikes and Allies)
     74 Bucerotidae (Hornbills)
     74 Grallariidae (Antpittas)
     75 Rhinocryptidae (Tapaculos)
     76 Acanthizidae (Thornbills and Allies)
     76 Cotingidae (Cotingas)
     76 Locustellidae (Grassbirds and Allies)
     80 Acrocephalidae (Reed-Warblers and Allies)
     86 Rhipiduridae (Fantails)
     90 Charadriidae (Plovers and Lapwings)
     93 Cardinalidae (Cardinals and Allies)
     98 "Paridae (Tits
    108 "Vireonidae (Vireos
    109 Falconidae (Falcons and Caracaras)
    111 Campephagidae (Cuckooshrikes)
    119 Phylloscopidae (Leaf Warblers)
    124 Caprimulgidae (Nightjars and Allies)
    126 "Ardeidae (Herons
